,"#;""اسم المؤسسة"";""المحلية"";""القطاع"";""نوع المؤسسة"";""العنوان"";""الهاتف"";""ملاحظات"""
59,"60;""صيدلية مدينة البراحة الطبية"";""الخرطوم بحري"";""خاص"";""صيدلية"";""مدينة البراحة الطبية"";""0"";""لا"""
60,"61;""صيدلية الفريق"";""الخرطوم بحري"";""خاص"";""صيدلية"";""شارع ام دوم شرق الاتحاد التعاونى"";""0"";""لايوجد"""
61,"62;""صيدلية الأحباب"";""الخرطوم بحري"";""خاص"";""صيدلية"";""الحلفايا مربع 7 جنوب مدرسة القلم"";""0"";""لا"""
62,"63;""صيدلية الملوك"";""الخرطوم بحري"";""خاص"";""صيدلية"";""جوار مركز صحى الحلفايا"";""0"";""لا"""
63,"64;""صيدلية الإكسير"";""الخرطوم بحري"";""خاص"";""صيدلية"";""الحاج يوسف شارع واحد"";""0"";""لا"""
64,"65;""صيدلية سابينا2"";""الخرطوم بحري"";""خاص"";""صيدلية"";""المستشفى التعاونى التخصصى المزاد استاد التحرير"";""0"";""لا"""
65,"66;""صيدلية السنجك"";""الخرطوم بحري"";""خاص"";""صيدلية"";""شارع المعونة المؤسسة"";""0"";""لا"""
66,"67;""مستشفى رويال كير"";""الخرطوم"";""خاص"";""مستشفى"";""الرياض المشتل تقاطع الستين"";""0"";""يومياُ عدا الجمعة"""
67,"68;""محمد نور للبصريات"";""الخرطوم"";""خاص"";""بصريات"";""الرياض شارع النص جوار صيدلية المك نمر"";""183254585"";""---"""
68,"69;""محمد نور للبصريات"";""الخرطوم"";""خاص"";""بصريات"";""شارع الجمهورية عمارة صحارى + عمارة حيدر الصديق النعمة ش.السيد عبدالرحمن"";""0"";""----"""
69,"70;""مجمع مكة لطب العيون"";""الخرطوم"";""خاص"";""بصريات"";""الرياض شارع النص+فرع الكلاكلة اللفة"";""122819133"";""----"""
70,"71;""مركز السودان للعيون"";""الخرطوم"";""خاص"";""بصريات"";""العمارات شارع 41"";""0"";""---"""
71,"72;""مستشفى بست كير"";""الخرطوم"";""خاص"";""مستشفى"";""اللاماب"";""0"";""----"""
72,"73;""مركز الشهيد وداعة الله"";""الخرطوم"";""خاص"";""مركز"";""الكلاكلة القطعية جوار مسجد الحجر"";""912133462"";""---"""
73,"74;""مجمع التاج الطبى"";""الخرطوم"";""خاص"";""مركز"";""ابوادم"";""157813551"";""---"""
74,"75;""مجمع الواحة الطبى"";""الخرطوم"";""خاص"";""مركز"";""جبرة مربع 2"";""153999529"";""---"""
75,"76;""مجمع الشجرة الطبى"";""الخرطوم"";""خاص"";""مركز"";""الشجرة"";""0"";""---"""
76,"77;""مجمع السجانة الطبى"";""الخرطوم"";""خاص"";""مركز"";""الديم الشرقية محطة حجازى"";""0"";""---"""
77,"78;""مستشفى دار الشفاء"";""الخرطوم"";""خاص"";""مستشفى"";""شارع القصر جنوب سينما كلوزيوم"";""0"";""---"""
78,"79;""مجمع المك نمر الطبى"";""الخرطوم"";""خاص"";""مركز"";""الأزهرى شارع مايو أول محطة"";""0"";""---"""
79,"80;""مستشفى الشفاء التخصصى"";""الخرطوم"";""خاص"";""مستشفى"";""الكلاكلة شرق آخر محطة"";""0"";""----"""
80,"81;""مستشفى الثناء التخصصى"";""الخرطوم"";""خاص"";""مستشفى"";""الأمتداد الدرجة التالتة شارع محمد نجيب"";""157814788"";""------"""
81,"82;""مستشفى الجودة الطبى"";""الخرطوم"";""خاص"";""مستشفى"";""الديم شارع الصحافة زلط جنوب محطة الغالى"";""183492278"";""---"""
82,"83;""مركز ابن الهيثم التشخيصى"";""الخرطوم"";""خاص"";""مركز"";""شارع الحوادث شرق مستشفى الفيصل"";""155183530"";""---"""
83,"84;""مستشفى د.أحمد خالد حميدة للأطفال"";""الخرطوم"";""خاص"";""مستشفى"";""السوق المركزى"";""120730443"";""-----"""
84,"85;""مركز صحى مسجد برى اللاماب"";""الخرطوم"";""خاص"";""مركز"";""مسجد برى اللاماب العتيق"";""0"";""----"""
85,"86;""مجمع الرسالة الطبى"";""الخرطوم"";""خاص"";""مركز"";""الكلاكلة القلعة مربع 2"";""0"";""----"""
86,"87;""مجمع عيادات الرملى"";""الخرطوم"";""خاص"";""مركز"";""جبرة الشارقة مربع 13"";""0"";""-----"""
87,"88;""مستشفى الشريف التخصصى"";""الخرطوم"";""خاص"";""مستشفى"";""شارع الحوادث قبالة حوادث الأطفال"";""0"";""-----"""
88,"89;""مجمع الشهيد ناجى الطبى"";""الخرطوم"";""خاص"";""مركز"";""الكلاكلة ابوادم مربع 4"";""0"";""---"""
89,"90;""مستوصف المنيرة الجراحى"";""الخرطوم"";""خاص"";""مركز"";""شارع المستشفى غرب مستشفى"";""0"";""----"""
90,"91;""مركز علياء الطبى التخصصى"";""الخرطوم"";""خاص"";""مركز"";""الخرطوم 2 حنوب شرق نادى الأسرة"";""0"";""------"""
91,"92;""مركز الأمتداد الطبى"";""الخرطوم"";""خاص"";""مركز"";""شارع الصحافة زلط الأمتداد جنوب مركز سمير"";""0"";""----"""
92,"93;""مجمع ابوالريش الطبى"";""الخرطوم"";""خاص"";""مركز"";""السلمة محطة البقالة"";""0"";""-----"""
93,"94;""مجمع عيادات الفردوس جنوب"";""الخرطوم"";""خاص"";""مركز"";""الفردوس جنوب منتصف شارع ال30"";""0"";""----"""
94,"95;""مجمع عيادات الحماد"";""الخرطوم"";""خاص"";""مركز"";""المعمورة شارع عبيد ختم"";""0"";""----"""
95,"96;""مجمع عيادات الجهاز القضائى"";""الخرطوم"";""خاص"";""مركز"";""رئاسة الجهاز القضائى الخرطوم"";""0"";""----"""
96,"97;""مجمع عيادات الحكمة"";""الخرطوم"";""خاص"";""مركز"";""شارع السيد عبدالرحمن شرق ملاعب كمبونى"";""0"";""-----"""
97,"98;""شبكة العلاج العالمية"";""الخرطوم"";""خاص"";""مركز"";""الشجرة يثرب مربع 6 شارع المستودعات"";""0"";""---"""
98,"99;""مركز صحى زهرة نابرى"";""الخرطوم"";""خاص"";""مركز"";""اركويت مربع 64 شرق البلابل"";""0"";""-----"""
99,"100;""مجمع عيادات العميد عابدون سيداحمد"";""الخرطوم"";""خاص"";""مركز"";""شارع الحرية جوار مجمع المحاكم مقابل ميدان جاكسون"";""0"";""----"""
100,"101;""مجمع افريقيا الطبى"";""الخرطوم"";""خاص"";""مركز"";""شارع المطار تقاطع شارع 1 العمارات"";""0"";""-----"""
101,"102;""مجمع مواهب الطبى"";""الخرطوم"";""خاص"";""مركز"";""الكلاكلة شرق أخر محطة جوار صيدلية البردة"";""0"";""----"""
102,"103;""مجمع عيادات جبرة"";""الخرطوم"";""خاص"";""مركز"";""جبرة محطة كهرباء جبرة مربع 1"";""0"";""-----"""
103,"104;""مجمع الشهيد ابراهيم شمس الدين"";""الخرطوم"";""خاص"";""مركز"";""ابوادم مربع4"";""0"";""---"""
104,"105;""المركز السودانى للسمع"";""الخرطوم"";""خاص"";""مركز"";""شارع السيد عبدالرحمن تقاطع الطيار جميل"";""0"";""-----"""
105,"106;""مجمع المعلم الطبى"";""الخرطوم"";""خاص"";""مركز"";""غرب حديقة القرشى"";""0"";""------"""
106,"107;""مجمع الزاهر الطبى"";""الخرطوم"";""خاص"";""مركز"";""الازهرى مربع 15"";""0"";""-----"""
107,"108;""مجمع سبعة الطبى"";""الخرطوم"";""خاص"";""مركز"";""امتدادالدرجة الثالثة محطة سبعة الصحافة زلط"";""0"";""-----"""
108,"109;""مستشفى امبريال"";""الخرطوم"";""خاص"";""مستشفى"";""الخرطوم شرق/ شرق صيدلية المك نمر"";""0"";""----"""
